city,year,month,temperature,humidity,air_pressure,monthly_rainfall,latitude,longitude,oni_index,el_nino,la_nina
Santo Tomas,2023,12,27.419354838709676,78.61290322580645,1013.3451612903226,23.2,16.33333,120.333328,2.0,1,0
Santo Tomas,2024,1,23.44193548387097,88.25806451612904,1013.741935483871,59.800000000000004,16.33333,120.333328,1.8,1,0
Santo Tomas,2024,2,25.2551724137931,86.86206896551724,1013.8517241379311,17.3,16.33333,120.333328,1.5,1,0
Santo Tomas,2024,3,26.651612903225807,82.90322580645162,1011.6612903225806,48.900000000000006,16.33333,120.333328,1.1,1,0
Santo Tomas,2024,4,30.236666666666668,76.63333333333334,1008.2199999999999,10.3,16.33333,120.333328,0.7,1,0
Santo Tomas,2024,5,29.335483870967742,84.38709677419355,1006.8903225806451,148.0,16.33333,120.333328,0.4,0,0
Santo Tomas,2024,6,28.706666666666667,89.56666666666666,1007.3566666666667,183.5,16.33333,120.333328,0.2,0,0
Santo Tomas,2024,7,28.406451612903226,88.19354838709677,1005.0967741935484,174.4,16.33333,120.333328,0.0,0,0
Santo Tomas,2024,8,28.103225806451615,92.29032258064517,1005.7645161290322,147.29999999999998,16.33333,120.333328,-0.1,0,0
Santo Tomas,2024,9,27.009999999999998,93.3,1003.1033333333332,347.8,16.33333,120.333328,-0.2,0,0
Santo Tomas,2024,10,26.7448275862069,90.53333333333333,1005.2199999999999,124.0,16.33333,120.333328,-0.3,0,0
Santo Tomas,2024,11,25.82,91.8,1008.0366666666666,381.5,16.33333,120.333328,-0.4,0,0
Santo Tomas,2024,12,24.219354838709677,91.7741935483871,1010.441935483871,397.5,16.33333,120.333328,-0.5,0,0
Santo Tomas,2025,1,23.061290322580643,91.61290322580645,1011.5999999999999,121.2,16.33333,120.333328,-0.6,0,1
Santo Tomas,2025,2,23.575,91.82142857142857,1012.4857142857143,100.4,16.33333,120.333328,-0.4,0,0
Santo Tomas,2025,3,25.243333333333332,91.45161290322581,1010.7322580645161,167.79999999999998,16.33333,120.333328,-0.2,0,0
Silay City,2020,1,26.532258064516128,86.25806451612904,1011.5354838709677,66.2,10.8,122.966667,-0.5,0,0
Silay City,2020,2,25.955172413793104,85.34482758620689,1013.3172413793104,93.5,10.8,122.966667,-0.4,0,0
Silay City,2020,3,27.37741935483871,81.38709677419355,1011.4870967741934,41.4,10.8,122.966667,-0.1,0,0
Silay City,2020,4,29.39,77.53333333333333,1011.01,21.0,10.8,122.966667,0.2,0,0
Silay City,2020,5,28.980645161290322,87.35483870967742,1009.8741935483871,185.3,10.8,122.966667,0.1,0,0
Silay City,2020,6,27.459999999999997,90.26666666666667,1009.7966666666667,237.29999999999998,10.8,122.966667,-0.2,0,0
Silay City,2020,7,27.029032258064515,90.64516129032258,1009.2354838709678,295.3,10.8,122.966667,-0.5,0,0
Silay City,2020,8,27.08709677419355,88.2258064516129,1009.4161290322581,253.20000000000002,10.8,122.966667,-0.9,0,1
Silay City,2020,9,27.086666666666666,89.0,1009.3133333333334,273.3,10.8,122.966667,-1.3,0,1
Silay City,2020,10,26.429032258064513,91.48387096774194,1008.2096774193549,544.0,10.8,122.966667,-1.5,0,1
Silay City,2020,11,26.73,89.7,1009.6800000000001,199.0,10.8,122.966667,-1.6,0,1
Silay City,2020,12,26.74516129032258,90.25806451612904,1008.8967741935484,249.8,10.8,122.966667,-1.4,0,1
Silay City,2021,1,25.63548387096774,90.51612903225806,1009.5774193548388,410.0,10.8,122.966667,-1.2,0,1
Silay City,2021,2,25.724999999999998,89.28571428571429,1010.4785714285715,288.9,10.8,122.966667,-0.9,0,1
Silay City,2021,3,26.932258064516127,87.6774193548387,1010.3354838709678,109.19999999999999,10.8,122.966667,-0.7,0,1
Silay City,2021,4,27.323333333333334,85.4,1009.67,87.89999999999999,10.8,122.966667,-0.5,0,0
Silay City,2021,5,28.212903225806453,87.51612903225806,1009.4935483870968,146.7,10.8,122.966667,-0.3,0,0
Silay City,2021,6,27.096666666666668,88.93333333333334,1010.0866666666666,643.4,10.8,122.966667,-0.4,0,0
Silay City,2021,7,27.14516129032258,89.93548387096774,1008.5709677419355,267.2,10.8,122.966667,-0.5,0,0
Silay City,2021,8,27.125806451612902,89.48387096774194,1010.0354838709677,202.9,10.8,122.966667,-0.7,0,1
Silay City,2021,9,26.726666666666667,90.33333333333333,1009.44,333.0,10.8,122.966667,-0.9,0,1
Silay City,2021,10,26.69677419354839,88.51612903225806,1008.9516129032259,390.09999999999997,10.8,122.966667,-1.1,0,1
Silay City,2021,11,27.016666666666666,87.73333333333333,1009.0066666666667,144.9,10.8,122.966667,-1.2,0,1
Silay City,2021,12,26.13225806451613,87.74193548387096,1010.4387096774193,225.9,10.8,122.966667,-1.1,0,1
Silay City,2022,1,26.04516129032258,85.2258064516129,1011.3935483870968,133.8,10.8,122.966667,-1.0,0,1
Silay City,2022,2,26.38214285714286,84.85714285714286,1010.9214285714286,69.0,10.8,122.966667,-0.9,0,1
Silay City,2022,3,27.24516129032258,86.41935483870968,1009.6774193548387,178.6,10.8,122.966667,-0.7,0,1
Silay City,2022,4,26.776666666666664,87.43333333333334,1008.8733333333333,433.3,10.8,122.966667,-0.5,0,0
Silay City,2022,5,27.72258064516129,85.35483870967742,1009.5999999999999,191.5,10.8,122.966667,-0.2,0,0
Silay City,2022,6,27.323333333333334,88.03333333333333,1009.1133333333333,200.79999999999998,10.8,122.966667,0.1,0,0
Silay City,2022,7,26.76774193548387,90.58064516129032,1008.8032258064517,278.9,10.8,122.966667,0.3,0,0
Silay City,2022,8,26.748387096774195,88.41935483870968,1009.1387096774193,262.8,10.8,122.966667,0.0,0,0
Silay City,2022,9,26.853333333333335,86.96666666666667,1009.25,228.3,10.8,122.966667,-0.2,0,0
Silay City,2022,10,26.770967741935483,89.83870967741936,1008.425806451613,425.4,10.8,122.966667,-0.6,0,1
Silay City,2022,11,27.163333333333334,86.93333333333334,1009.7033333333333,186.29999999999998,10.8,122.966667,-0.8,0,1
Silay City,2022,12,26.25483870967742,87.48387096774194,1008.4774193548387,243.0,10.8,122.966667,-0.9,0,1
Silay City,2023,1,25.51290322580645,89.83870967741936,1010.1322580645161,383.2,10.8,122.966667,-0.6,0,1
Silay City,2023,2,25.99285714285714,88.0,1010.5607142857143,177.7,10.8,122.966667,-0.3,0,0
Silay City,2023,3,26.60967741935484,84.06451612903226,1011.6483870967742,49.7,10.8,122.966667,0.1,0,0
Silay City,2023,4,28.433333333333334,80.4,1009.3733333333333,37.699999999999996,10.8,122.966667,0.5,0,0
Silay City,2023,5,27.864516129032257,86.41935483870968,1009.5645161290323,252.8,10.8,122.966667,0.8,1,0
Silay City,2023,6,27.066666666666666,88.33333333333333,1009.5733333333334,379.4,10.8,122.966667,1.0,1,0
Silay City,2023,7,26.83225806451613,90.06451612903226,1009.1129032258065,408.3,10.8,122.966667,1.3,1,0
Silay City,2023,8,27.141935483870967,85.7741935483871,1009.6225806451613,288.4,10.8,122.966667,1.6,1,0
Silay City,2023,9,27.009999999999998,88.9,1009.5066666666667,310.5,10.8,122.966667,1.8,1,0
Silay City,2023,10,27.26774193548387,89.87096774193549,1010.9290322580645,208.9,10.8,122.966667,2.0,1,0
Silay City,2023,11,27.2,87.6,1010.3833333333333,221.1,10.8,122.966667,2.1,1,0
Silay City,2023,12,27.26451612903226,86.83870967741936,1011.0903225806452,79.9,10.8,122.966667,2.0,1,0
Silay City,2024,1,26.719354838709677,85.45161290322581,1012.4096774193548,62.7,10.8,122.966667,1.8,1,0
Silay City,2024,2,27.06896551724138,81.93103448275862,1013.6482758620689,24.0,10.8,122.966667,1.5,1,0
